timestamp,price,volume,volatility,liquidity,rsi,momentum,macd,trend,sentiment,holders,market_cap,label
2025-01-01T00:00:00,100.4183,1348036.69,2.5627,2239875.27,68.92,1.767,2.3531,-0.8261,-0.1562,16122,473007723.11,HOLD
2025-01-01T00:01:00,99.6163,30140734.58,4.7093,7163035.93,66.11,-0.8048,-0.3047,-0.4436,0.7386,398333,4030067162.9,HOLD
2025-01-01T00:02:00,100.2107,17078500.77,1.6661,9572558.59,36.93,-4.0725,-2.4197,0.695,0.2075,423667,222034962.4,HOLD
2025-01-01T00:03:00,100.089,6328825.53,7.4172,797213.98,33.45,1.2864,2.3127,-0.2767,-0.6154,36966,233892796.36,SELL
2025-01-01T00:04:00,99.2727,14540459.38,1.0984,2335580.95,18.08,-2.2203,0.8141,-0.2703,-0.2596,110342,3352524996.02,SELL
2025-01-01T00:05:00,99.8781,34209028.51,1.0355,6353433.1,52.73,-2.5519,-0.2264,-0.4601,0.8508,361295,2786963970.15,HOLD
2025-01-01T00:06:00,100.432,42158310.82,6.32,2298190.24,12.57,-1.8455,-1.3936,-0.578,0.8858,459969,3590981782.24,SELL
2025-01-01T00:07:00,99.5698,25011639.85,7.1351,6432090.18,21.43,-3.6037,1.4699,0.078,0.494,225122,4489625303.59,SELL
2025-01-01T00:08:00,99.268,11044105.88,7.9815,5100167.67,17.27,-4.5288,-2.3421,0.2549,0.5842,221833,2984063108.51,SELL
2025-01-01T00:09:00,98.9223,29834832.58,4.0104,2521627.06,54.26,4.4243,1.0817,-0.7709,0.7696,394176,1337791823.81,HOLD
2025-01-01T00:10:00,99.3452,5666453.46,3.7607,4542699.83,86.31,3.7585,-1.4197,0.0012,-0.6427,478979,536522059.87,HOLD
2025-01-01T00:11:00,99.7211,42099300.47,4.3075,1997121.91,39.91,-3.3845,2.721,0.8449,0.837,314519,1624159504.74,HOLD
2025-01-01T00:12:00,98.2796,46462020.95,7.0904,8318338.64,34.6,-4.4207,2.2681,0.8939,-0.8287,255298,4081036150.83,HOLD
2025-01-01T00:13:00,99.7135,26682037.86,1.4432,6600910.72,85.75,-3.3487,0.166,0.2132,0.9287,487518,2698783963.45,BUY
2025-01-01T00:14:00,100.4033,10137438.06,2.8379,9951542.07,61.99,-0.619,0.1055,-0.758,-0.5506,177754,110066128.74,HOLD
2025-01-01T00:15:00,100.5651,29463161.71,0.5539,7081331.06,14.71,-4.326,-2.8115,-0.3391,0.0283,146502,3346544002.59,SELL
2025-01-01T00:16:00,99.7078,6702361.25,7.5164,5714720.5,47.81,2.8462,1.845,-0.6192,-0.8061,226494,1774716345.11,SELL
2025-01-01T00:17:00,99.4411,43205453.74,0.9063,6538020.33,61.69,-4.3939,1.3693,0.6012,-0.7815,100948,955093497.66,HOLD
2025-01-01T00:18:00,99.2869,21151893.83,2.5891,2505566.41,83.86,-0.5687,2.1681,0.1007,-0.8988,283923,4180957787.47,HOLD
2025-01-01T00:19:00,100.6939,46325712.45,6.8652,1671447.99,48.85,-2.8625,-0.5938,-0.8827,-0.2421,205193,1329689275.57,SELL
2025-01-01T00:20:00,101.5461,22804917.53,3.6726,9573603.23,89.63,0.5577,1.3104,-0.6904,-0.4066,31162,2898005552.63,HOLD
2025-01-01T00:21:00,101.6727,37423980.46,0.9287,5845934.17,50.23,3.5272,-2.0554,0.9216,-0.8398,97925,347264056.86,HOLD
2025-01-01T00:22:00,100.3766,43104778.18,3.5283,9416545.31,55.57,0.7892,-2.7616,-0.836,0.3147,296841,2616299664.08,HOLD
2025-01-01T00:23:00,101.6807,10292534.05,5.8714,2394472.67,41.66,1.7169,-1.2,-0.3676,0.5037,38533,51530707.14,HOLD
